Os dejo el código de todas las divisas del mundo en este archivo, ya que en el programa hay que meter las tres letras que aparecen en la columna "Código"
He sacado los datos de la siguiente web: https://es.iban.com/currency-codes

País	Divisa	Código	Número
MONTSERRAT	Dólar del Caribe oriental	XCD	951
MOZAMBIQUE	Metical mozambiqueño	MZN	943
MÉXICO	Peso mexicano	MXN	484
MÉXICO	Unidad de Inversion Mexicana(UDI)	MXV	979
MÓNACO	Euro	EUR	978
NAMIBIA	Dólar de Namibia	NAD	516
NAMIBIA	Rand	ZAR	710
NAURU	Dólar australiano	AUD	036
NEPAL	Rupia nepalí	NPR	524
NICARAGUA	Córdoba oro	NIO	558
NIGERIA	Franco CFA de África Occidental	XOF	952
NIGERIA	Naira	NGN	566
NIUE	Dólar neozelandés	NZD	554
NORUEGA	Corona noruega	NOK	578
NUEVA CALEDONIA	Franco CFP	XPF	953
NUEVA ZELANDA	Dólar neozelandés	NZD	554
OMÁN	Rial omaní	OMR	512
PAISES MIEMBROS DEL BANCO AFRICANO DE DESARROLLO	BAD UNIDAD DE CUENTAS	XUA	965
PAKISTÁN	Rupia pakistaní	PKR	586
PALAU	Dólar estadounidense	USD	840
PANAMÁ	Balboa	PAB	590
PANAMÁ	Dólar estadounidense	USD	840
PAPÚA NUEVA GUINEA	Kina	PGK	598
PARAGUAY	Guaraní	PYG	600
PERU	Nuevo Sol	PEN	604
PITCAIRN	Dólar neozelandés	NZD	554
POLINESIA FRANCESA	Franco CFP	XPF	953
POLONIA	Zloty	PLN	985
PORTUGAL	Euro	EUR	978
PUERTO RICO	Dólar estadounidense	USD	840
QATAR	Riyal catarí	QAR	634
REINO UNIDO DE GRAN BRETAÑA E IRLANDA DEL NORTE	Libra esterlina	GBP	826
REPUBLICA DEMOCRÁTICA POPULAR LAO	Kip laosiano	LAK	418
REPÚBLICA BOLIVARIANA DE VENEZUELA	Bolívar	VEF	937
REPÚBLICA CENTROAFRICANA (LA)	Franco CFA de África Central	XAF	950
REPÚBLICA CHECA	Czech Koruna	CZK	203
REPÚBLICA DE COREA DEL SUR	Won	KRW	410
REPÚBLICA DE MOLDAVIA	Leu Moldavo	MDL	498
REPÚBLICA DEMOCRATICA DE COREA DEL NORTE	Won norcoreano	KPW	408
REPÚBLICA DOMINICANA	Peso dominicano	DOP	214
REPÚBLICA ISLAMICA DE IRÁN	Rial iraní	IRR	364
REPÚBLICA UNIDA DE TANZANIA	Chelín tanzano	TZS	834
REPÚBLICA ÁRABE SIRIA	Libra siria	SYP	760
REUNIÓN	Euro	EUR	978
RUANDA	Franco ruandés	RWF	646
RUMANIA	Leu rumano	RON	946
RUSIA	Rublo ruso	RUB	643
SAHARA OCCIDENTAL	Dirham marroquí	MAD	504
SAMOA	Tala	WST	882
SAMOA AMERICANA	Dólar estadounidense	USD	840
SAN BARTOLOMÉ	Euro	EUR	978
SAN CRISTÓBAL Y NIEVES	Dólar del Caribe oriental	XCD	951
SAN MARINO	Euro	EUR	978
SAN MARTÍN	Euro	EUR	978
SAN MARTÍN (PARTE HOLANDESA)	Florín holandés	ANG	532
SAN PEDRO Y MIQUELÓN	Euro	EUR	978
SAN TOMÉ Y PRÍNCIPE	Dobra	STD	678
SAN VICENTE Y LAS GRANADINAS	Dólar del Caribe oriental	XCD	951
SANTA HELENA ASCENCIÓN Y TRISTÁN DE ACUÑA	Libra de Santa Helena	SHP	654
SANTA LUCÍA	Dólar del Caribe oriental	XCD	951
SANTA SEDE	Euro	EUR	978
SENEGAL	Franco CFA de África Occidental	XOF	952
SERBIA	Dinar serbio	RSD	941
SEYCHELLES	Rupia de Seychelles	SCR	690
SIERRA LEONA	Leone	SLL	694
SINGAPUR	Dólar de Singapur	SGD	702
SISTEMA UNITARIO DE COMPENSACION REGIONAL DE PAGOS "SUCRE"	Sucre	XSU	994
SOMALIA	Chelín somalí	SOS	706
SRI LANKA	Rupia de Sri Lanka	LKR	144
SUAZILANDIA	Lilangeni	SZL	748
SUDÁFRICA	Rand	ZAR	710
SUDÁN	Libra sudanesa	SDG	938
SUDÁN DEL SUR	Libra sursudanesa	SSP	728
SUECIA	Corona sueca	SEK	752
SUIZA	WIR Euro	CHE	947
SUIZA	Franco suizo	CHF	756
SUIZA	Franco WIR	CHW	948
SURINAM	Dólar de Surinam	SRD	968
TAILANDIA	Baht	THB	764
TAIWÁN (PROVINCIA DE CHINA)	Nuevo dólar de Taiwán	TWD	901
TAJIKISTÁN	Somoni	TJS	972
TERRITORIO BRITÁNICO DEL OCÉANO ÍNDICO	Dólar estadounidense	USD	840
TERRITORIOS AUSTRALES FRANCESES	Euro	EUR	978
TIMOR ORIENTAL	Dólar estadounidense	USD	840
TOGO	Franco CFA de África Occidental	XOF	952
TOKELAU	Dólar neozelandés	NZD	554
TONGA	Pa’anga	TOP	776
TRINIDAD Y TOBAGO	Dólar de Trinidad y Tobago	TTD	780
TURMENISTÁN	Manat turcomano	TMT	934
TURQUÍA	Lira turca	TRY	949
TUVALU	Dólar tuvaluano	AUD	036
TÚNEZ	Dinar tunecino	TND	788
UGANDA	Chelín ugandés	UGX	800
UKRANIA	Grivnia	UAH	980
UNIÓN EUROPEA	Euro	EUR	978
URUGUAY	Peso uruguayo en unidades indexadas (URUIURUI)	UYI	940
URUGUAY	Peso uruguayo	UYU	858
UZBEKISTÁN	Som uzbeko	UZS	860
VANUATU	Vatu	VUV	548
VIETNAM	Dong	VND	704
WALLIS Y FUTUNA	Franco CFP	XPF	953
YEMEN	Rial yemení	YER	886
YIBUTI	Franco yibutiano	DJF	262
ZAMBIA	Kwacha zambiano	ZMW	967
ZIMBABUE	Dólar zimbabuense	ZWL	932
